Observation ID,Name,Data Type,Latitude,Longitude,Town,Link to Picture
G2_R0,Church 1,Church,45.903413,8.971177,Riva San Vitale,https://drive.google.com/file/d/1bq-Ij74kuEvE3TqYwtW4OT2Pgd2m9dol/view?usp=sharing
G2_R1,Church 2,Church,45.904582,8.970751,Riva San Vitale,https://drive.google.com/file/d/1bog7fpwTxFa2z72aCY-hk_s_3p8HM4R3/view?usp=sharing
G2_R2,Church 3,Church,45.906739,8.969732,Riva San Vitale,https://drive.google.com/file/d/1MPj_BkiVap7nr0gvkUa4XI8Y2QWDah4i/view?usp=drive_link
G2_R3,Bell Tower 1,Bell Tower,45.903413,8.971177,Riva San Vitale,https://drive.google.com/file/d/1bq-Ij74kuEvE3TqYwtW4OT2Pgd2m9dol/view?usp=sharing
G2_R4,Bell Tower 2,Bell Tower,45.904582,8.970751,Riva San Vitale,https://drive.google.com/file/d/1bog7fpwTxFa2z72aCY-hk_s_3p8HM4R3/view?usp=sharing
G2_R5,Bell Tower 3,Bell Tower,45.906739,8.969732,Riva San Vitale,https://drive.google.com/file/d/1MPj_BkiVap7nr0gvkUa4XI8Y2QWDah4i/view?usp=drive_link
G2_R6,School (Kindgergarten),School,45.903435,8.971485,Riva San Vitale,https://drive.google.com/file/d/1USexKZUvBPoIua1jbaSRAzBOdtK4378S/view?usp=sharing
G2_R7,School (Elementary),School,45.90255,8.971731,Riva San Vitale,https://drive.google.com/file/d/1VC5IEuztL0rRnu0K7O-WC1WLYAFfyEki/view?usp=sharing
G2_R8,School (Rainbow),School,45.902911,8.974103,Riva San Vitale,https://drive.google.com/file/d/1iAFMeMSvtHLG3Z-LUyCqsls1O29_Ciye/view?usp=sharing
G2_R9,Ballet Dance Studio,Art Studio,45.904062,8.970422,Riva San Vitale,https://drive.google.com/file/d/15TAI3mJGusmOXYb11APLOl4-Y1oqFDti/view?usp=sharing
G2_R10,Music Studio,Art Studio,45.90345,8.970978,Riva San Vitale,https://drive.google.com/file/d/12AP_1gbmBNLWacc45HtJeTHXBy7B3nkx/view?usp=sharing
G2_R11,Pottery Studio 1,Art Studio,45.904954,8.971062,Riva San Vitale,https://drive.google.com/file/d/1jahDRQM1u12hLotFlTLhiuH07wc4NwQ7/view?usp=sharing
G2_R12,Pottery Studio 2,Art Studio,45.905044,8.971161,Riva San Vitale,https://drive.google.com/file/d/14MmnjtbPsvFrj6pnyJX1ZoifFeQ28FLq/view?usp=sharing
G2_R13,Baptistry of Church 2,Cultural,45.904582,8.970751,Riva San Vitale,https://drive.google.com/file/d/1wlwrBgUssJcUbJaGbAEch7ir4Oy-BMA8/view?usp=sharing
G2_R14,Water Fountain,Cultural,45.905776,8.971118,Riva San Vitale,https://drive.google.com/file/d/1KnlIZHzCaJrakRJ7WtO3PeP6F_H7ABFx/view?usp=drive_link
G2_R15,Flags outside rainbow school,Cultural,45.902151,8.973594,Riva San Vitale,https://drive.google.com/file/d/1cRXq-HILBBIc1jSbTliWHlyFNSHQwgWC/view?usp=sharing
G2_R16,Cemetery,Cultural,45.898996,8.970111,Riva San Vitale,https://drive.google.com/file/d/1khwM-93OIUm1_gn1IJ_RTPhYtLTQXtgH/view?usp=sharing
G2_R17,Shrine,Cultural,45.901342,8.971996,Riva San Vitale,https://drive.google.com/file/d/1wtDdkFWOmx7-PV6quldDVJ2olHIbjOzG/view?usp=drive_link
G2_R18,Pig cop statues,House Decoration,45.902264,8.973181,Riva San Vitale,https://drive.google.com/file/d/1AS7AEj8o0CyNTZqTD2yDkMlXrbJZa-kH/view?usp=sharing
G2_R19,fake grass + tree,House Decoration,45.901933,8.974542,Riva San Vitale,https://drive.google.com/file/d/1qRXgOaWi3tkykMBlvQN5DmfF9m-0Nc8L/view?usp=sharing
G2_R20,Ornaments on tree + snowman,House Decoration,45.900586,8.97469,Riva San Vitale,https://drive.google.com/file/d/1NybVl104eCj14jZi1eylgXmjHGhwoP91/view?usp=drive_link
G2_R21,Lady bug rock + bird house,House Decoration,45.902092,8.97239,Riva San Vitale,https://drive.google.com/file/d/17aDhTDzhFusdRHjZIlq7AmKhERWNVHo4/view?usp=drive_link
G2_R22,Pots + Bells outside,House Decoration,45.902227,8.972957,Riva San Vitale,https://drive.google.com/file/d/1qhLO7lQBjgRYl18QfhN7VFGDrKc5-jC9/view?usp=drive_link
G2_R23,Doormat + bunny on door ,House Decoration,45.902215,8.972723,Riva San Vitale,https://drive.google.com/file/d/1CQlcew4xiTsRv6QEYK03hUmirpHneYD6/view?usp=drive_link
G2_R24,House painting,House Decoration,45.901975,8.970857,Riva San Vitale,https://drive.google.com/file/d/1YofMeDth2nlp0dsQ3irTf-IDIQN1oW1v/view?usp=drive_link
G2_R25,Candy canes outside house,House Decoration,45.903456,8.970417,Riva San Vitale,https://drive.google.com/file/d/1It_ezkN8t_8I_hu3g_1euvAqxRpaH1O6/view?usp=drive_link
G2_R26,Mushroom statue,House Decoration,45.902181,8.970717,Riva San Vitale,https://drive.google.com/file/d/1OFQi_Upzb2LN0unpvzKG0XYrK5lO2h7_/view?usp=drive_link
G2_R27,Stained blue gold glass outside door,House Decoration,45.904783,8.970881,Riva San Vitale,https://drive.google.com/file/d/1BMTv6isFRGYoAWtSu3VvQy7W0bfagbjf/view?usp=sharing
G2_R28,Decoration outside of the gelato place,House Decoration,45.905332,8.971091,Riva San Vitale,https://drive.google.com/file/d/1mSxUhDlxOhWDgWr76B0wMDSpxJNpLGcp/view?usp=drive_link
G2_R29,Door with lots of hanging stuff and on windows,House Decoration,NAN,NAN,Riva San Vitale,https://drive.google.com/file/d/12EC3P4-d35TYJ4MdWgmJZqA_hhp1uHc6/view?usp=drive_link
G2_R30,Sun door ornament,House Decoration,45.901704,8.970762,Riva San Vitale,https://drive.google.com/file/d/1bwVoR9_YWAuvbDsgshw57fLNdUPhzHmu/view?usp=sharing
G2_R31,Owl door ornament,House Decoration,45.901999,8.971899,Riva San Vitale,https://drive.google.com/file/d/1D8p7ZsCu33MsYVfuRm_zE_nTksBmal_u/view?usp=sharing
G2_PC0,Community Center,Cultural,45.904344,8.906015,Porto Ceresio,https://drive.google.com/file/d/1LRPDo7McKzj_MPueiFtw0hd9gOFsInMe/view?usp=drive_link
G2_PC1,Painting of a lady with the record player ,Art,45.903874,8.906192,Porto Ceresio,https://drive.google.com/file/d/1HJ6ICh8Cwmy1lCh6sKYVxgM3YIdtSpWG/view?usp=drive_link
G2_PC2,Jesus Mural ,Cultural,45.903915,8.906409,Porto Ceresio,https://drive.google.com/file/d/1lA_4cf1mkfpplxL_73a9V7cxwklWkTgM/view?usp=drive_link
G2_PC3,Graffiti (How Jaz),Art,45.903813,8.90631,Porto Ceresio,https://drive.google.com/file/d/1-idbPH_Pes0ytiXGtmkhSwkyzb5zck0H/view?usp=drive_link
G2_PC4,City Center,Cultural,45.903167,8.905809,Porto Ceresio,https://drive.google.com/file/d/1jjLdl5x79Osd04Y3kzZ-W7zhZIfvId54/view?usp=drive_link
G2_PC5,Christmas stocking,House Decoration,45.902995,8.905376,Porto Ceresio,https://drive.google.com/file/d/1VeSdttiib_vsUwrewOgdDAOkXuUAohQo/view?usp=drive_link
G2_PC6,Ave Maria shrine,Cultural,45.902729,8.904864,Porto Ceresio,https://drive.google.com/file/d/1NYo-JcYkeXYv9-YTqa4t-bY1cfV44Bgg/view?usp=drive_link
G2_PC7,Ambrosio Church (w bell),Church,45.90256,8.904584,Porto Ceresio,https://drive.google.com/file/d/1yoEDdty1rsldJDE_8kcmaOLn1tQVGGaa/view?usp=drive_link
G2_PC8,Summer Camp Paintings,Art ,45.902427,8.90428,Porto Ceresio,https://drive.google.com/file/d/1Xw8xT-84XqmI-PvdBQ25zQ34PEk1VfA8/view?usp=drive_link
G2_PC9,Crossing Sign,Art ,45.902747,8.904269,Porto Ceresio,https://drive.google.com/file/d/1ZkgEdxk5s04nfa2j9Q6mtAYhSXx-9J8K/view?usp=drive_link
