Observation ID,Name,Data Type,Latitude,Longitude,Color,Material,Open/Closed,Number of People,Price Range (CHF),Town,Link to Picture
G1_R0,Solar Panel 1,Solar Panel,8.97062,45.90187,Black,crystalline silicon,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1P91eS5RCPLk_TuPHWM9bnzRaUt6PiUlj/view?usp=drive_link
G1_R1,Statues 1,Statues,8.97055,45.9044,Pale off-white/cream,lime-plastered masonry,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1tgSBeQguIu10f5zDgBp02bva-xZ01Us-/view?usp=drive_link
G1_R2,Solar Panel 2,Solar Panel,8.97095,45.90696,Black,crystalline silicon,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1kngJeMCJY5VlB6FlyZPtl58rvjKAhYR3/view?usp=sharing
G1_R3,Floors 1,Floors/Bridges,8.97254,45.90608,Gray,Pre-cast concrete (cement + sand + crushed aggregate with iron-oxide pigments,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1y7Ue-Iqir3_Tj5Hbs8yPCeWHOEIM9I7I/view?usp=sharing
G1_R4,Floors 2,Floors/Bridges,8.97052,45.90475,Light Gray,natural igneous stone,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1X3TihpIcc6KJDSuwy2_-2CIxiJfV8DLv/view?usp=sharing
G1_R5,Fountain 1,Fountains,8.9713,45.90572,Light Gray,granite,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1D0GOe--hKk6VdRS2iYmQEIBkBfKWa7YV/view?usp=sharing
G1_R6,Fountain 2,Fountains,8.97015,45.90338,Gray,porous calcareous stone,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1Gyy81htRjRq1Mv0H5KtIlnfnb4xLPglN/view?usp=drive_link
G1_R7,Statues 2,Statues,8.9711,45.90538,Green,bronze,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1o0Vgj0eUTNCNaa0Rt9UY5M3_vbr_3-6z/view?usp=drive_link
G1_R8,Floors 3,Floors/Bridges,8.97229,45.90533,Light Gray,concrete,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/125CT2f_R9yzz8LjEHoVz6t_ModQXlZc3/view?usp=sharing
G1_R9,Floors 4,Floors/Bridges,8.97089,45.90469,Gray,limestone,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1ZuanmT2az0urOML86uZm60cjH94AYoJZ/view?usp=sharing
G1_R10,Statues 3,Statues,8.97057,45.90394,Green,bronze,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1XyDr3Xn6PGDf_PQjw4lJDvMApwoYVJlW/view?usp=drive_link
G1_R11,Building 1,Building,8.97038,45.9031,Pink,masonry walls,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1WKdSvuEDD-zM6U_TMK8kZQ8mrYt1S9fV/view?usp=sharing
G1_R12,Building 2,Building,8.97067,45.9055,Beige/Black/Brown,fieldstone,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1YdVpo7OJ1YgKwTgohKW19jU2XTXXpYqm/view?usp=sharing
G1_R13,Archways 1,Archways,8.97118,45.90566,Beige,limestone,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1XmiB-2tGJCCkbDGs9DETN8--2pNw25y1/view?usp=drive_link
G1_R14,Building 3,Building,8.97061,45.90575,Grey/Green,Masonry walls,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1ozg5TAK8Xmbp3nmBRhpDk1T_61_yOE14/view?usp=sharing
G1_R15,Building 4,Building,8.97001,45.90691,Yellow,masonry walls,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1UgEKVW8DvS2mBYLj6O_QbnvzY5S-xSVd/view?usp=sharing
G1_R16,Archway 2,Archways,8.971,45.90586,White,masonry,N/A,N/A,N/A,Riva San Vitale,https://drive.google.com/file/d/1ROHhglJH_XPLnqC7nlLMWdCMQj18sjTw/view?usp=drive_link
